log10_ch4_left,log10_ch4_right,density_per_decade
-0.6529872819273216,-0.47466564505630016,0.0023068056111853192
-0.47466564505630016,-0.2963440081852787,0.0
-0.2963440081852787,-0.11802237131425719,0.0023068056111853184
-0.11802237131425719,0.06029926555676424,0.0023068056111853192
0.06029926555676424,0.23862090242778566,0.0023068056111853192
0.23862090242778566,0.4169425392988072,0.006920416833555954
0.4169425392988072,0.5952641761698286,0.009227222444741277
0.5952641761698286,0.7735858130408501,0.009227222444741277
0.7735858130408501,0.9519074499118715,0.02998847294540915
0.9519074499118715,1.1302290867828928,0.053056529057262374
1.1302290867828928,1.3085507236539144,0.05767014027963291
1.3085507236539144,1.486872360524936,0.09688583566978329
1.486872360524936,1.6651939973959573,0.17070361522771385
1.6651939973959573,1.843515634266979,0.28604389578697925
1.843515634266979,2.021837271138,0.39907737073506067
2.021837271138,2.200158908009022,0.4405998717363954
2.200158908009022,2.3784805448800435,0.5259516793502521
2.3784805448800435,2.5568021817510647,0.7750866853582682
2.5568021817510647,2.7351238186220863,0.7358709899681158
2.7351238186220863,2.9134454554931075,0.6551327935766315
2.9134454554931075,3.091767092364129,0.5005768176272136
3.091767092364129,3.2700887292351504,0.31833917434357445
3.2700887292351504,3.4484103661061716,0.21683972745142027
3.4484103661061716,3.6267320029771937,0.12456750300400676
3.6267320029771937,3.805053639848215,0.10841986372571014
3.805053639848215,3.983375276719236,0.03921569539015047
3.983375276719236,4.161696913590258,0.013840833667111899
4.161696913590258,4.340018550461279,0.01845444488948258
4.340018550461279,4.5183401873323,0.006920416833555967
