indicator,p2.5,median,p97.5
national_total_1e4m3yr,52721.622285080965,70365.66110858528,91984.6786303601
gini,0.6652942429446487,0.669171121532212,0.6744473218772108
tierI_share_pct,75.16666146319623,75.5553175835148,76.02205201663025
