ch4_m3d,ccdf_P_X_gt_x
0.22233749999999788,0.9997943233237351
0.5390000000000023,0.9993829699712052
1.010625,0.9989716166186754
1.54,0.9985602632661457
2.002000000000001,0.9981489099136158
2.2330000000000005,0.997737556561086
2.492875000000002,0.9973262032085561
3.5371875,0.9969148498560263
3.5371875,0.9965034965034965
3.5420000000000007,0.9960921431509667
3.773,0.9956807897984369
3.9751250000000042,0.995269436445907
4.30122,0.9948580830933772
4.774000000000003,0.9944467297408474
4.952062500000003,0.9940353763883175
6.208125,0.9936240230357878
6.7375,0.9932126696832579
7.392000000000001,0.9928013163307281
7.546,0.9923899629781983
7.699999999999999,0.9919786096256684
7.748125000000001,0.9915672562731386
7.9839375,0.9911559029206088
8.0465,0.990744549568079
8.2775,0.9903331962155492
8.662500000000001,0.9899218428630193
8.662500000000001,0.9895104895104895
8.691375000000004,0.9890991361579596
8.893500000000001,0.9886877828054299
9.24,0.9882764294529001
9.317,0.9878650761003702
9.548000000000002,0.9874537227478404
9.884875000000001,0.9870423693953105
9.904125000000002,0.9866310160427807
10.173624999999996,0.986219662690251
10.780000000000001,0.9858083093377211
11.088000000000001,0.9853969559851913
11.1890625,0.9849856026326614
11.466262500000003,0.9845742492801316
11.549999999999999,0.9841628959276019
11.682825000000001,0.983751542575072
11.858,0.9833401892225422
12.243,0.9829288358700123
12.329624999999998,0.9825174825174825
12.474,0.9821061291649527
12.550999999999998,0.9816947758124228
12.618375,0.9812834224598931
12.80125,0.9808720691073632
13.167000000000002,0.9804607157548334
13.475,0.9800493624023036
13.475,0.9796380090497737
13.475,0.979226655697244
13.956249999999999,0.9788153023447141
14.014000000000001,0.9784039489921843
14.755124999999994,0.9779925956396545
14.784000000000002,0.9775812422871246
14.8225,0.9771698889345948
14.83482,0.976758535582065
14.957249999999998,0.9763471822295352
15.015,0.9759358288770054
15.015,0.9755244755244755
15.092000000000002,0.9751131221719457
15.975959999999995,0.9747017688194158
16.401,0.9742904154668861
16.84375,0.9738790621143563
17.517500000000002,0.9734677087618264
17.6859375,0.9730563554092966
17.787,0.9726450020567667
18.104625,0.9722336487042369
18.2875,0.9718222953517072
18.393375,0.9714109419991773
18.528125000000003,0.9709995886466475
19.7505,0.9705882352941176
19.827499999999997,0.9701768819415878
19.875625,0.969765528589058
20.02,0.9693541752365282
20.02,0.9689428218839984
20.7178125,0.9685314685314685
20.944000000000003,0.9681201151789387
21.560000000000002,0.9677087618264089
21.598500000000005,0.967297408473879
21.7284375,0.9668860551213493
21.829499999999996,0.9664747017688194
22.166375000000002,0.9660633484162896
22.407000000000004,0.9656519950637598
22.570624999999996,0.9652406417112299
22.889789999999998,0.9648292883587001
23.244374999999998,0.9644179350061703
23.284800000000004,0.9640065816536405
23.793,0.9635952283011107
24.110625,0.9631838749485808
24.1395,0.962772521596051
24.1395,0.9623611682435211
24.255000000000003,0.9619498148909914
25.33299999999999,0.9615384615384616
25.669874999999998,0.9611271081859317
25.794999999999998,0.9607157548334019
25.987499999999997,0.960304401480872
26.565,0.9598930481283422
26.565,0.9594816947758125
26.613125,0.9590703414232826
26.95,0.9586589880707528
26.95,0.9582476347182229
26.95,0.9578362813656931
26.95,0.9574249280131633
27.065499999999997,0.9570135746606335
27.286875000000002,0.9566022213081037
27.72,0.9561908679555738
27.960625,0.955779514603044
28.089600000000004,0.9553681612505142
28.105,0.9549568078979843
28.182000000000002,0.9545454545454546
28.49,0.9541341011929247
28.721000000000004,0.9537227478403949
29.105999999999998,0.9533113944878651
29.26,0.9529000411353352
29.26,0.9524886877828054
29.3755,0.9520773344302756
29.876,0.9516659810777458
30.723,0.951254627725216
31.261999999999997,0.9508432743726861
31.57,0.9504319210201563
32.05433,0.9500205676676265
32.34,0.9496092143150967
32.49400000000001,0.9491978609625669
