parameter,value
n_positive,2431.0
lognormal_mu,5.786130723678082
lognormal_sigma,1.4018086173774358
geo_mean_m3d,325.7501653745632
powerlaw_alpha,1.9931217933159577
x_min_m3d,349.96500000000003
P_tail_ge_xmin,0.5002056766762649
Vuong_R_PL_vs_LN,-5.014633729897772
Vuong_p,5.313458606755985e-07
