capacity_1e4_m3_d,CH4_1e4_m3_yr,tier
0.5,2.838605,III
10.0,106.7287375,I
10.0,112.13895,I
2.0,8.9514425,II
4.0,29.11678,II
0.5,3.0353399999999997,III
6.0,35.58093,I
1.5,10.750162500000002,III
1.0,5.434804375000001,III
1.0,4.106843125,III
2.0,15.28912,II
2.0,14.066552499999997,II
0.4,1.928003,III
0.5,3.3585475,III
8.0,87.6876,I
2.0,13.377979999999999,II
3.0,24.45135,II
0.8,1.01178,III
2.0,14.10871,II
10.0,83.75290000000001,I
7.5,52.9076625,I
1.5,4.215749999999999,III
1.2,9.477006000000003,III
1.5,8.889962812499999,III
0.3,0.48059550000000006,III
2.0,13.082877499999999,II
1.0,8.178555000000001,III
2.0,6.6889899999999995,II
1.5,12.309989999999999,III
1.5,5.3856206250000005,III
0.8,5.50858,III
0.8,3.6648920000000005,III
1.0,5.39616,III
2.0,5.58586875,II
0.48,2.02356,III
7.5,46.109765625,I
1.0,2.5997125000000003,III
1.0,4.401945625000001,III
1.8,10.18103625,III
0.6,3.625545,III
1.5,8.5210846875,III
1.0,7.648073125000002,III
4.0,27.126945999999997,II
1.0,7.953714999999999,III
1.0,8.5579725,III
2.0,18.71793,II
3.0,30.469333125,II
2.1,21.082122599999998,II
10.0,84.315,I
0.75,4.942966875,III
1.0,4.5811150000000005,III
1.0,6.998145000000001,III
1.5,9.9913275,III
1.2,8.364048,III
1.8,20.792079000000005,III
2.0,18.493090000000002,II
1.5,13.817120625,III
1.0,8.234765,III
3.0,19.729709999999997,II
4.0,17.565624999999997,II
5.0,20.291809999999998,I
4.5,7.335405000000001,II
3.0,19.055190000000003,II
1.0,6.836541249999999,III
1.5,8.26287,III
1.5,8.889962812499999,III
0.7,4.148649312499999,III
1.5,9.664606875,III
2.0,11.12958,II
0.8,4.226992000000001,III
1.0,7.700770000000001,III
2.5,18.0135484375,II
4.0,34.06326,II
2.0,11.804100000000002,II
2.4,9.982896,II
6.5,50.785735,I
2.0,14.95186,II
0.5,2.7121324999999996,III
1.5,10.697465625,III
1.0,5.424264999999999,III
1.5,10.62369,III
0.8,6.025712000000001,III
0.12,0.54147093,III
0.8,5.283739999999999,III
0.8,5.062272600000001,III
1.2,9.139746000000002,III
0.6,5.817735000000001,III
1.0,11.551155,III
1.5,13.1952975,III
0.8,9.960412000000002,III
5.0,39.347,I
7.0,39.59291875,I
4.0,35.52472,II
2.0,14.277340000000002,II
1.6,11.371282999999998,III
2.0,15.45775,II
3.0,18.464985000000002,II
0.5,2.362927875,III
0.3,1.5935535,III
1.0,8.403395000000002,III
0.7,4.524905,III
1.0,7.222985,III
0.25,2.07977,III
0.5,4.3703275,III
0.25,1.7846675000000003,III
0.5,2.00248125,III
1.0,6.773305000000001,III
2.0,11.5933125,II
2.0,15.570170000000001,II
3.5,15.49288125,II
3.0,23.14868325,II
0.35,1.4447726562500003,III
2.0,7.082459999999999,II
2.0,11.410630000000001,II
0.75,4.19467125,III
1.5,11.12958,III
2.0,11.804100000000002,II
0.65,4.0190150000000004,III
0.6,3.54123,III
1.5,8.09002425,III
0.6,5.497338000000001,III
3.0,19.7718675,II
4.0,52.82334749999998,II
40.0,152.8912,I
15.0,94.854375,I
2.0,10.00538,II
40.0,269.80799999999994,I
20.0,101.178,I
1.0,0.0,III
0.5,2.5997125000000003,III
2.0,5.50858,II
2.0,13.09693,II
5.0,23.467675000000003,I
4.0,21.9219,II
7.0,101.90873,I
2.5,9.0638625,II
60.0,212.4738,I
2.5,16.3711625,II
2.0,14.89565,II
2.5,8.993599999999999,II
2.5,14.6146,II
3.0,23.692515,II
2.0,13.32177,II
3.0,7.588349999999998,II
5.0,25.2945,I
5.0,26.9808,I
1.0,5.67721,III
2.5,13.4904,II
2.0,10.79232,II
1.0,2.388925,III
8.0,27.205640000000002,I
12.0,137.60208,I
8.0,37.54828,I
3.0,24.535665,II
10.0,118.32205,I
8.0,111.07096000000001,I
3.0,33.22011,II
3.5,28.723309999999998,II
8.0,56.43484,I
12.0,81.61692,I
6.0,59.35776,I
2.0,0.73073,II
4.0,36.424080000000004,II
3.0,15.261014999999999,II
10.0,67.45199999999998,I
7.0,17.115945,I
1.0,7.02625,III
0.5,8.7266025,III
0.6,2.52945,III
0.5,2.1078749999999995,III
2.5,11.3122625,II
1.0,0.39347000000000004,III
0.2,2.102254,III
2.0,8.543920000000002,II
6.0,38.110380000000006,I
3.0,19.392450000000004,II
3.0,16.18848,II
3.0,16.1800485,II
0.5,2.12895375,III
10.0,39.90910000000001,I
10.0,49.18375,I
3.0,11.12958,II
2.0,11.35442,II
5.0,12.928300000000002,I
10.0,43.28170000000001,I
8.0,57.3342,I
3.0,15.345330000000002,II
2.5,22.905575000000002,II
6.0,29.341620000000002,I
4.0,99.37928000000001,II
25.0,122.959375,I
1.5,4.0049625,III
0.3,1.618848,III
0.2,0.421575,III
1.0,3.3444949999999998,III
0.3,2.0404230000000005,III
6.0,8.937389999999999,I
0.1,0.5396160000000001,III
10.0,53.3995,I
30.0,161.04165000000003,I
2.0,5.73342,II
2.0,12.253779999999999,II
2.0,4.44059,II
2.0,3.428810000000001,II
10.0,71.66774999999998,I
3.0,5.311845,II
2.0,11.35442,II
3.0,9.78054,II
3.0,13.068825,II
20.0,127.03459999999998,I
0.5,1.478323,III
4.0,21.58464,II
2.0,13.883870000000002,II
3.0,17.790465,II
1.5,7.7148225,III
2.0,10.567479999999998,II
2.0,8.65634,II
2.0,9.83675,II
10.0,78.13190000000002,I
10.0,32.0397,I
2.5,22.624525,II
3.0,17.03163,II
10.0,34.00705,I
3.0,18.380670000000002,II
1.5,4.763797500000001,III
10.0,56.7721,I
2.0,3.54123,II
20.0,61.831,I
4.5,16.441425,II
1.5,9.696225000000002,III
2.0,16.01985,II
3.0,12.81588,II
3.0,16.357110000000002,II
10.0,39.90910000000001,I
10.0,34.8502,I
2.0,11.46684,II
2.0,8.09424,II
10.0,15.45775,I
1.5,8.60013,III
1.5,6.618727500000001,III
2.0,11.185789999999999,II
3.0,13.996290000000002,II
8.0,65.87812,I
10.0,186.89825,I
5.0,27.26185,I
1.0,1.0258325000000001,III
3.0,16.01985,II
1.5,6.576569999999999,III
5.0,29.088675,I
5.0,31.618125,I
3.0,23.186625,II
7.0,48.200075000000005,I
3.0,14.670810000000001,II
3.0,6.660885,II
2.0,2.9791300000000005,II
1.5,8.60013,III
0.5,3.906595,III
5.0,28.38605,I
2.5,26.766499375000002,II
10.0,70.08684374999999,I
15.0,114.246825,I
15.0,129.84509999999997,I
39.0,370.48010999999997,I
10.0,67.73304999999999,I
1.5,7.689528000000001,III
9.8,30.848048000000006,I
2.0,11.635470000000002,II
1.5,9.21141375,III
2.5,10.546401249999999,II
3.0,9.291513000000002,II
3.0,23.77683,II
2.0,11.073369999999999,II
10.0,64.8803925,I
5.0,34.9766725,I
30.0,238.61144999999996,I
15.0,45.84628125,I
15.0,61.67642250000001,I
10.0,130.12615,I
32.5,191.816625,I
32.5,203.69098750000003,I
15.0,201.0491175,I
6.0,34.923272999999995,I
5.0,51.572675,I
4.0,3.788554000000001,II
3.0,15.29895675,II
2.0,7.7429274999999995,II
1.0,7.8497265,III
1.2,6.472019400000001,III
10.0,61.831,I
10.0,62.7444125,I
2.0,12.64725,II
1.5,7.489279875000002,III
1.0,5.6870467499999995,III
1.0,5.39616,III
2.0,7.8694,II
2.0,15.379056000000002,II
2.0,13.082877499999999,II
10.0,53.9616,I
2.0,9.38707,II
2.0,10.567479999999998,II
6.0,18.1024305,I
10.0,53.93349499999999,I
2.0,5.1853725,II
1.5,9.21141375,III
1.0,6.1409425,III
2.0,17.942232,II
2.0,14.845061000000001,II
2.0,4.271960000000001,II
2.0,13.43419,II
1.0,5.087005,III
1.5,10.252704000000001,III
5.0,20.095075,I
0.5,2.92292,III
1.0,4.5389574999999995,III
0.6,3.20397,III
5.0,43.00065000000001,I
2.0,14.221129999999999,II
5.0,42.31910375,I
3.0,9.932307,II
1.0,4.103330000000001,III
5.0,47.258557499999995,I
5.0,50.729525,I
2.0,12.709081000000001,II
2.0,10.786699,II
2.0,11.374093499999999,II
2.5,21.159551875,II
3.0,14.898460500000004,II
1.0,3.33746875,III
1.0,8.15045,III
2.0,8.21368625,II
280.0,1204.0182000000002,I
170.0,850.4572999999998,I
7.5,47.4271875,I
6.0,29.67888,I
0.2,0.34850200000000003,III
6.0,37.3262505,I
2.0,9.72433,II
4.0,27.992580000000004,II
10.5,59.0205,I
2.2,18.672962000000002,II
5.0,25.435025,I
40.0,475.25555,I
50.0,136.30924999999996,I
4.0,17.607782500000003,II
10.0,82.90975,I
10.0,71.10565,I
5.0,47.919025000000005,I
5.5,41.117615,I
3.5,18.0012525,II
12.0,97.46814,I
3.0,9.369504375000002,II
1.2,3.8363325000000006,III
3.4,42.558698875,II
0.25,0.46057068749999996,III
0.25,0.72089325,III
1.0,3.1477600000000003,III
0.5,1.401736875,III
2.5,25.224237500000005,II
1.4,10.845016875,III
3.0,28.477391249999997,II
10.0,88.9101675,I
1.0,6.59483825,III
1.0,5.926641875,III
1.0,8.122345,III
12.0,132.20592,I
10.0,93.3086,I
20.0,224.2779,I
1.25,16.19550625,III
5.0,13.630925,I
7.0,42.986597499999995,I
14.0,109.77813,I
5.0,46.93535000000001,I
13.8,165.611523,I
1.7,8.7374931875,III
0.4,1.8689825,III
1.2,6.433234499999999,III
2.5,8.9233375,II
2.5,3.5833875,II
1.75,2.164085,III
1.25,1.264725,III
0.5,1.1944625,III
3.5,0.18075028125000012,II
8.0,44.06864,I
8.0,32.06780500000001,I
2.0,6.970040000000001,II
30.0,81.701235,I
2.0,0.7644560000000001,II
1.5,5.986364999999999,III
20.0,99.49170000000001,I
15.0,112.13895,I
10.0,47.7785,I
5.0,17.987199999999998,I
3.0,10.286430000000001,II
4.0,29.11678,II
4.0,17.2143125,II
6.5,40.0074675,I
4.0,13.26556,II
10.0,21.07875,I
4.0,17.987199999999998,II
3.0,10.697465625,II
2.0,2.6699750000000004,II
5.0,40.75225,I
10.3,53.37315156249999,I
25.0,167.22475,I
30.0,261.3765,I
22.0,135.8736225,I
15.0,68.29515,I
3.0,12.7737225,II
2.5,12.81588,II
3.0,17.790465,II
4.0,64.52908000000001,II
5.0,34.990725,I
1.0,4.215749999999999,III
8.0,50.954365,I
2.0,11.69168,II
1.0,5.0307949999999995,III
1.0,7.3073,III
0.75,0.9696225,III
4.0,34.035154999999996,II
1.0,7.222985,III
0.5,7.449230250000002,III
1.0,9.61191,III
15.0,155.13960000000003,I
20.0,202.356,I
7.5,28.835730000000005,I
5.0,23.32715,I
1.5,6.768386624999999,III
1.25,4.4265375,III
6.0,21.9219,I
2.5,11.874362500000002,II
10.0,37.379650000000005,I
